PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
Ray Scott,684,31.2,14.9,5.7,14.1,40.5,-,-,-,3.5,4.8,72,-,-,10.5,2.4,-,-,-,40.5,45.9
Rashard Lewis,"1,049",32,14.9,5.4,11.9,45.2,1.7,4.4,38.6,2.4,3,80.5,1.4,3.8,5.2,1.7,1.1,0.5,1.5,52.4,56.3
Rik Smits,867,26.6,14.8,6.1,12.1,50.7,0,0,11.5,2.6,3.4,77.3,1.8,4.3,6.1,1.4,0.4,1.3,1.8,50.7,54.8
Micheal Ray Richardson,556,33.4,14.8,6.1,13.5,45.7,0.2,1,22,2.3,3.4,69,1.8,3.7,5.5,7,2.6,0.4,3.3,46.5,49.7
Eddie Jones,954,34.4,14.8,5.2,11.8,43.7,1.6,4.3,37.3,2.9,3.6,80.9,0.8,3.2,4,2.9,1.7,0.6,1.6,50.5,55.4
Bob Boozer,874,29.2,14.8,5.7,12.3,46.2,-,-,-,3.5,4.6,76.1,-,-,8.1,1.4,-,-,-,46.2,51.9
Happy Hairston,776,31.4,14.8,5.5,11.4,47.8,-,-,-,3.9,5.3,74.1,4.2,8.9,10.3,1.6,0.8,0.2,-,47.8,53.9
Luol Deng,902,34.3,14.8,5.7,12.5,45.6,0.7,2.2,33.2,2.7,3.5,76.9,1.6,4.4,6.1,2.3,1,0.5,1.6,48.5,52.8
Max Zaslofsky,540,28.3,14.8,5.3,15.4,34.3,-,-,-,4.2,5.5,76.9,-,-,2.8,2,-,-,-,34.3,41.5
Jack Marin,849,29,14.8,6,12.8,46.5,-,-,-,2.8,3.4,84.3,0.9,2.3,5.2,2.1,0.5,0.2,-,46.5,51.6
Rony Seikaly,678,31.6,14.7,5.4,11.1,48.4,0,0,18.8,4,5.8,67.9,3.2,6.3,9.5,1.3,0.7,1.3,2.8,48.4,53.8
Michael Adams,653,31.3,14.7,5,12,41.5,1.5,4.4,33.2,3.3,3.9,84.9,0.6,2.3,2.9,6.4,1.7,0.1,2.1,47.5,53.6
Hersey Hawkins,983,32.6,14.7,5,10.8,46.1,1.2,3.2,39.4,3.5,4.1,87,0.8,2.8,3.6,2.9,1.7,0.3,1.9,51.8,58.5
Chuck Person,943,30.7,14.7,5.9,12.9,45.8,1.3,3.6,36.2,1.6,2.2,72.3,1.2,3.8,5.1,2.8,0.7,0.2,2.1,50.8,53
Mike Bibby,"1,001",33.9,14.7,5.4,12.4,43.6,1.5,4,37.9,2.4,2.9,80.2,0.5,2.6,3.1,5.5,1.2,0.1,2.1,49.7,53.6
Bogdan Bogdanovic,449,28.8,14.7,5.3,12.2,43.8,2.5,6.5,38.4,1.5,1.8,84.3,0.5,2.9,3.4,3.3,1,0.3,1.4,54.1,56.6
Jamal Crawford,"1,327",29.4,14.6,5.1,12.4,41,1.7,4.8,34.8,2.8,3.2,86.2,0.4,1.9,2.2,3.4,0.9,0.2,1.9,47.7,52.9
Rex Chapman,666,29.3,14.6,5.6,13,43,1.2,3.5,35,2.2,2.8,80,0.6,1.9,2.5,2.7,0.9,0.2,1.5,47.7,51.4
Shawn Kemp,"1,051",27.9,14.6,5.2,10.7,48.8,0,0.1,27.7,4.1,5.5,74.1,2.9,5.5,8.4,1.6,1.1,1.2,2.6,49,55.5
Mahmoud Abdul-Rauf,586,26.7,14.6,6,13.6,44.2,0.8,2.3,35.4,1.8,2,90.5,0.4,1.5,1.9,3.5,0.8,0.1,1.6,47.2,50.6
Fred Brown,963,25.4,14.6,6.2,13.1,47.8,0.1,0.3,37.3,2,2.3,85.8,0.8,1.9,2.7,3.3,1.4,0.2,1.6,48.2,51.8
Jeff Hornacek,"1,077",31.5,14.5,5.5,11.1,49.6,0.8,1.9,40.3,2.8,3.1,87.7,0.9,2.5,3.4,4.9,1.4,0.2,1.8,53,58.2
Josh Smith,894,32.4,14.5,5.7,12.6,45.2,0.5,1.8,28.5,2.6,4.2,63.2,1.9,5.5,7.4,3.1,1.2,1.9,2.5,47.2,50.4
Robert Parish,"1,611",28.4,14.5,6,11.1,53.7,0,0,0,2.5,3.5,72.1,2.9,6.3,9.1,1.4,0.8,1.5,2.1,53.7,57.1
Flynn Robinson,494,23.4,14.5,5.6,12.3,45.6,-,-,-,3.2,3.8,84.9,-,-,2.6,3.1,-,-,-,45.6,51.7
Rasheed Wallace,"1,109",32.7,14.4,5.7,12.2,46.7,1,2.9,33.6,2.1,2.9,72.1,1.4,5.3,6.7,1.8,1,1.3,1.5,50.7,53.6
Maurice Lucas,855,29,14.4,5.7,12,47.3,0,0,11.1,3,4,76.3,2.5,6.3,8.8,2.3,0.7,0.6,2.3,47.3,52.3
Mike Conley,"1,101",31.6,14.4,5.1,11.6,43.9,1.6,4.2,38.7,2.6,3.2,82.3,0.5,2.5,3,5.7,1.4,0.2,1.9,51,55.6
Nick Anderson,800,31.2,14.4,5.5,12.4,44.6,1.3,3.7,35.6,2.1,3.1,66.7,1.3,3.8,5.1,2.6,1.4,0.5,1.7,50,52.5
Gene Shue,699,33.4,14.4,5.3,13.4,39.6,-,-,-,3.8,4.7,80.6,-,-,4.1,3.7,-,-,-,39.6,46.5
Vern Mikkelsen,699,32.5,14.4,5.1,12.6,40.3,-,-,-,4.2,5.5,76.6,-,-,9.4,2.2,-,-,-,40.3,47.8
Nick Van Exel,880,32.9,14.4,5.3,13,40.5,1.7,4.9,35.7,2.1,2.7,79.4,0.4,2.5,2.9,6.6,0.8,0.1,2.1,47.1,50.7
Charles Smith,564,29,14.4,5.3,11.2,47.5,0,0.2,19.4,3.7,4.8,77.4,2.1,3.6,5.8,1.4,0.8,1.4,1.8,47.7,54.1
Josh Howard,507,30.3,14.3,5.4,12.2,44.8,0.7,2,33.2,2.8,3.6,77,1.7,4,5.7,1.6,1,0.5,1.4,47.6,52.2
Jim Jackson,885,32.8,14.3,5.4,12.7,42.8,1,2.7,36.5,2.5,3,82.5,1.3,3.3,4.7,3.2,0.8,0.2,2.5,46.7,51.1
Jalen Rose,923,30.3,14.3,5.3,11.9,44.3,0.8,2.3,35.5,3,3.7,80.1,0.5,2.9,3.5,3.8,0.8,0.3,2.3,47.7,53
Andrea Bargnani,550,28.7,14.3,5.3,12.1,43.9,1.1,3.2,35.4,2.5,3,82.4,1,3.7,4.6,1.2,0.4,0.9,1.5,48.6,53.1
Steve Nash,"1,217",31.3,14.3,5.2,10.6,49,1.4,3.2,42.8,2.5,2.8,90.4,0.5,2.5,3,8.5,0.7,0.1,2.9,55.6,60.5
Jim Paxson,784,27.2,14.3,5.8,11.7,49.8,0.1,0.6,22.5,2.6,3.2,80.7,0.7,1.4,2,2.9,1.2,0.1,1.5,50.3,54.7
Cedric Ceballos,609,24.2,14.3,5.6,11.2,50,0.4,1.2,30.9,2.7,3.6,75.3,2.1,3.3,5.3,1.2,0.7,0.3,1.6,51.8,55.9
Bob Davies,462,31.3,14.3,5,13.1,37.8,-,-,-,4.4,5.7,75.9,-,-,2.9,4.9,-,-,-,37.8,45.6
Terry Rozier,601,27.8,14.3,5.2,12.3,42,2.1,5.7,36.7,1.8,2.2,82.7,0.7,3.3,3.9,3.6,1,0.2,1.4,50.6,53.7
Mikal Bridges,474,32.7,14.3,5.2,10.8,48,1.7,4.6,37.5,2.1,2.5,84.6,0.9,3.2,4.1,2.6,1.2,0.6,1.2,56,59.7
Steven Smith,942,30.6,14.3,4.9,11.1,44,1.2,3.4,35.8,3.3,3.8,84.5,1.2,2.1,3.2,3.1,0.8,0.3,1.8,49.4,55.6
Kyle Lowry,"1,138",31.7,14.3,4.6,10.8,42.4,1.9,5.2,36.8,3.2,3.9,81.5,0.8,3.5,4.3,6.2,1.3,0.3,2.3,51.3,57
Roy Hinson,507,30.7,14.2,5.5,11,49.9,0,0,0,3.3,4.4,74.1,2.1,4.7,6.8,1,0.6,1.7,2,49.9,55
Sean Elliott,742,33,14.2,5.2,11.2,46.5,0.8,2.1,37.5,3,3.8,79.9,1.1,3.2,4.3,2.6,0.8,0.4,1.8,50,55.3
Clifford Robinson,"1,380",30.8,14.2,5.4,12.2,43.8,0.9,2.5,35.6,2.6,3.7,68.9,1.3,3.2,4.6,2.2,1,1,1.8,47.5,51.2
Dillon Brooks,417,29.1,14.2,5.3,12.7,41.8,1.7,4.9,34.5,1.9,2.4,80.2,0.7,2.4,3.2,2,0.9,0.3,1.5,48.4,51.7
Quintin Dailey,528,23,14.1,5.6,12.2,45.4,0,0.3,15.8,3,3.8,77.9,0.8,1.7,2.5,2.3,0.9,0.1,1.9,45.6,50.8
Kerry Kittles,507,33.4,14.1,5.5,12.5,43.9,1.4,3.6,37.8,1.8,2.3,78,1,2.9,3.9,2.6,1.6,0.4,1.2,49.3,52.3
Caris LeVert,460,28.2,14.1,5.2,12.1,43.4,1.5,4.3,34.1,2.2,2.9,73.9,0.7,3.2,3.9,4.1,1.1,0.4,1.8,49.4,52.8
Wally Szczerbiak,651,30.8,14.1,5.4,11,48.5,0.9,2.2,40.6,2.5,2.9,86,1,3,4,2.4,0.6,0.2,1.5,52.6,57.3
Dennis Johnson,"1,100",32.7,14.1,5.3,11.9,44.5,0.1,0.4,17.2,3.4,4.3,79.7,1.3,2.5,3.9,5,1.3,0.6,2.4,44.8,51.1
Caron Butler,881,32.2,14.1,5.2,12,43.4,0.8,2.4,34.8,2.8,3.3,84.7,1.3,3.7,5,2.3,1.3,0.2,1.8,46.9,52.3
Mickey Johnson,904,27.7,14.1,5.2,11.7,44.9,0,0.2,16.5,3.6,4.5,80,2.4,4.7,7.2,3,1.1,0.7,2.9,45,51.7
Larry Hughes,727,30.8,14.1,5.1,12.7,40.6,0.7,2.3,30.9,3.1,4.1,75.7,1,3.2,4.2,3.1,1.5,0.4,2.1,43.5,48.8
Alvan Adams,988,27.5,14.1,5.8,11.6,49.8,0,0,13.3,2.5,3.2,78.8,2,5,7,4.1,1.3,0.8,2.6,49.8,54.1
Byron Scott,"1,073",28.1,14.1,5.5,11.4,48.2,0.7,2,37,2.3,2.8,83.3,0.6,2.2,2.8,2.5,1.1,0.3,1.5,51.4,55.6
Brandon Jennings,555,30.3,14.1,5,12.8,38.7,1.6,4.8,34.5,2.5,3.1,79.6,0.6,2.4,3,5.7,1.2,0.2,2.2,45.2,49.6
Harrison Barnes,911,31.6,14,5,10.9,45.7,1.4,3.7,37.9,2.7,3.3,81,1,3.9,4.9,1.8,0.7,0.2,1.2,52.1,56.9
Marc Gasol,891,32.2,14,5.2,10.8,48.1,0.5,1.3,36,3.2,4.1,77.6,1.6,5.8,7.4,3.4,0.9,1.4,2,50.3,55.7
Dennis Schroder,768,27.2,14,5.2,11.9,43.4,1.2,3.6,34.2,2.5,3,83.6,0.4,2.5,2.9,4.8,0.8,0.1,2.3,48.5,53.1
Danny Manning,883,27.4,14,5.7,11.1,51.1,0,0.2,20.6,2.6,3.5,72.9,1.7,3.5,5.2,2.3,1.1,0.9,2.1,51.3,55.2
Tim Hardaway Jr.,736,27.3,14,4.9,11.7,41.8,2.3,6.3,36,2,2.4,81.2,0.3,2.6,2.9,1.9,0.6,0.1,1,51.5,55
Jerry Sloan,755,34.1,14,5.5,12.8,42.7,-,-,-,3.1,4.3,72.2,2.1,4.8,7.4,2.5,2.2,0.2,-,42.7,47.7
Otis Thorpe,"1,257",31.7,14,5.5,10,54.6,0,0.1,4.7,3.1,4.5,68.7,2.7,5.5,8.2,2.2,0.7,0.4,2.2,54.6,58.4
Brandon Knight,451,29.3,14,5,12.2,41.1,1.6,4.5,35.2,2.4,2.9,80.7,0.5,2.5,3.1,3.9,0.9,0.2,2.4,47.6,51.8
Mike Woodson,786,25.5,14,5.6,11.9,46.6,0.2,0.6,27.1,2.7,3.3,81.3,0.8,1.5,2.3,2.3,1.2,0.3,1.7,47.3,52.2
Alvin Robertson,779,31.7,14,5.7,11.9,47.7,0.3,1,29.5,2.3,3.1,74.3,2.1,3.1,5.2,5,2.7,0.4,2.7,49,52.7
Ken Sears,529,28.2,13.9,4.7,10.2,45.5,-,-,-,4.6,5.6,82.6,-,-,7.8,1.6,-,-,-,45.5,54.8
Lou Williams,"1,123",24.1,13.9,4.5,10.7,41.9,1.3,3.7,35.1,3.6,4.3,84.2,0.4,1.8,2.2,3.4,0.8,0.2,1.7,47.9,55.1
Myles Turner,570,28.6,13.9,5.2,10.3,50.2,1.1,3,35.4,2.5,3.2,77.1,1.4,5.4,6.8,1.2,0.7,2.2,1.4,55.3,59.2
Detlef Schrempf,"1,136",29.6,13.9,4.8,9.7,49.1,0.4,1.1,38.4,3.9,4.9,80.3,1.6,4.5,6.2,3.4,0.8,0.3,2,51.3,58.6
Lafayette Lever,752,31.7,13.9,5.6,12.6,44.7,0.2,0.7,31,2.4,3.1,77.1,1.9,4.1,6,6.2,2.2,0.3,2,45.5,49.6
O.J. Mayo,547,30.9,13.8,5.1,12,42.9,1.6,4.2,37.3,2,2.5,82,0.5,2.6,3.1,2.9,1,0.3,2.1,49.4,53
Jim McMillian,631,32.1,13.8,5.8,12,48.2,-,-,-,2.3,2.8,83.2,1.6,3.6,5.3,2.5,1.1,0.2,1.2,48.2,52.5
Terry Dischinger,652,27.4,13.8,5.3,10.5,50.6,-,-,-,3.2,4.2,75.8,-,-,5.6,1.8,-,-,-,50.6,55.9
Terrell Brandon,724,29.8,13.8,5.4,12,44.8,0.5,1.5,35.5,2.5,2.8,87.3,0.6,2.4,3,6.1,1.6,0.3,2,47.1,51.9
Johnny Kerr,905,30.7,13.8,5.4,13,41.8,-,-,-,2.9,4.1,72.3,-,-,11.2,2.2,-,-,-,41.8,46.7
Ron Harper,"1,009",30.9,13.8,5.3,11.8,44.6,0.5,1.8,28.9,2.7,3.8,72,1.3,3,4.3,3.9,1.7,0.7,2.2,46.8,51.1
Larry Foust,817,29.2,13.7,4.7,11.5,40.5,-,-,-,4.4,5.9,74.1,-,-,9.8,1.7,-,-,-,40.5,48.5
Mychal Thompson,935,29.7,13.7,5.6,11,50.4,0,0,8.3,2.6,4,65.5,2.4,5.1,7.4,2.3,0.7,1.1,2.3,50.4,53.7
Eric Bledsoe,756,27.8,13.7,4.9,10.8,45.2,1.1,3.4,33.6,2.8,3.6,78.4,0.8,3.1,3.9,4.7,1.4,0.5,2.5,50.4,55.3
Armen Gilliam,929,28.4,13.7,5.2,10.7,48.9,0,0,0,3.3,4.2,77.6,2.3,4.6,6.9,1.2,0.7,0.7,1.9,48.9,54.7
Evan Fournier,704,27.7,13.6,4.9,11.1,44.1,1.9,5.2,37.4,1.9,2.4,79.9,0.4,2.3,2.7,2.5,0.9,0.2,1.5,52.7,56.1
Ron Mercer,432,31.1,13.6,5.8,13.4,42.9,0.1,0.6,25,2,2.4,80.8,0.9,2.2,3.1,2.1,1.1,0.3,1.6,43.4,47
John Long,893,25.4,13.6,5.7,12.2,46.7,0.1,0.4,32.2,2,2.4,86.2,1.1,1.7,2.8,1.9,1,0.2,1.7,47.2,51.2
David West,"1,034",28.2,13.6,5.5,11.1,49.5,0.1,0.2,26.5,2.5,3,81.7,1.7,4.6,6.4,2.2,0.7,0.8,1.6,49.8,54.4
Junior Bridgeman,849,25,13.6,5.7,11.9,47.5,0,0.2,24.4,2.2,2.6,84.6,1.1,2.5,3.5,2.4,0.8,0.3,1.7,47.7,52
David Lee,829,29.3,13.5,5.5,10.3,53.5,0,0,3.4,2.5,3.2,77.2,2.6,6.2,8.8,2.2,0.8,0.4,1.8,53.6,57.7
Mehmet Okur,634,29.1,13.5,4.8,10.4,45.8,0.9,2.5,37.5,3,3.8,79.7,2,5,7,1.7,0.5,0.7,1.6,50.3,55.8
Ken Norman,646,29.4,13.5,5.8,11.9,48.6,0.4,1.1,31.2,1.6,2.8,56.7,2.1,4,6.1,2.1,0.8,0.7,1.8,50.1,51.4
Al Harrington,981,28.5,13.5,5.1,11.5,44.4,1,2.8,35.2,2.2,3.1,72.7,1.5,4.1,5.6,1.7,0.9,0.3,1.9,48.7,52.3
Carl Braun,788,29.8,13.5,5,13,38.3,-,-,-,3.6,4.4,80.4,-,-,3.4,3.7,-,-,-,38.3,45.2
Ricky Davis,736,29.8,13.5,5.1,11.4,44.6,0.8,2.2,36.1,2.5,3.2,78.1,0.8,2.7,3.5,3.3,1,0.3,2.2,48,52.5
Aaron Gordon,669,29.3,13.5,5.1,10.7,48.1,1,3.2,32.3,2.2,3.2,68.3,1.8,4.6,6.3,2.7,0.7,0.6,1.5,52.9,55.8
Mookie Blaylock,889,34.9,13.5,5.3,12.9,40.9,1.4,4.3,33.6,1.4,1.9,73.6,1.1,3,4.1,6.7,2.3,0.3,2.3,46.5,48.8
Frank Ramsey,623,24.6,13.4,4.7,11.8,39.9,-,-,-,4,4.9,80.4,-,-,5.5,1.8,-,-,-,39.9,47.9
Eddie Miles,605,25.9,13.4,5.5,12.4,44,-,-,-,2.5,3.4,74.7,-,-,3.1,2,-,-,-,44,48.3
Elmore Smith,562,31.8,13.4,5.6,11.7,48.2,-,-,-,2.1,3.7,57.9,2.3,7.1,10.6,1.4,0.8,2.9,1.7,48.2,50.3
Lucius Allen,702,28.7,13.4,5.5,11.9,46.3,-,-,-,2.3,3.1,76,1,2.3,3.1,4.5,1.5,0.3,2.3,46.3,50.4
Damon Stoudamire,878,33.2,13.4,4.9,12.1,40.6,1.4,3.9,35.7,2.1,2.6,83.3,0.8,2.7,3.5,6.1,1.1,0.1,2.3,46.4,50.5
Paul Millsap,"1,085",28.1,13.4,5,10.3,48.9,0.5,1.5,34.1,2.8,3.9,73.6,2.2,4.9,7.1,2.2,1.2,1,1.7,51.3,55.9
Jason Terry,"1,410",29.8,13.4,4.9,11.1,44.4,1.6,4.3,38,2,2.3,84.5,0.4,2,2.3,3.8,1.1,0.2,1.7,51.7,55.4
Juwan Howard,"1,208",30.3,13.4,5.4,11.5,46.9,0,0,12,2.5,3.3,76.4,1.9,4.2,6.1,2.2,0.7,0.3,2,46.9,51.4
Kendall Gill,966,30.5,13.4,5.2,12.1,43.4,0.3,1.1,30,2.5,3.4,75.4,1.3,2.8,4.1,3,1.6,0.4,1.8,44.8,49.3
Jonas Valan?i?nas,856,25.7,13.4,5.3,9.5,56.1,0.3,0.8,34.8,2.5,3.1,78.9,2.8,6.7,9.5,1.3,0.4,1,1.6,57.5,61.6
Derek Harper,"1,199",31.5,13.3,5.2,11.2,46.3,0.9,2.5,35.4,2.1,2.9,74.5,0.6,1.8,2.4,5.5,1.6,0.3,1.9,50.3,53.7
Lamar Odom,961,33.4,13.3,5,10.8,46.3,0.7,2.2,31.2,2.6,3.7,69.3,1.9,6.5,8.4,3.7,0.9,0.9,2.3,49.5,53.4
Spencer Dinwiddie,542,27.8,13.3,4.3,10.4,41.4,1.6,4.7,33.3,3.1,3.9,79.6,0.4,2.6,3,5.2,0.7,0.3,1.7,49,54.8
Dick Garmaker,421,28.9,13.3,4.8,11.9,40.3,-,-,-,3.7,4.7,78.7,-,-,4.2,2.6,-,-,-,40.3,47.5
Manu Ginobili,"1,057",25.4,13.3,4.3,9.7,44.7,1.4,3.8,36.9,3.2,3.9,82.7,0.6,2.8,3.5,3.8,1.3,0.3,2,52,58.2
Goran Dragic,946,27.1,13.3,4.9,10.6,45.9,1.2,3.4,36.2,2.3,3,76.6,0.7,2.3,3,4.7,0.9,0.2,2.2,51.6,55.6
Bill Walton,468,28.3,13.3,5.5,10.5,52.1,0,0,0,2.4,3.6,66,2.4,8.2,10.5,3.4,0.8,2.2,2.7,52.1,55.1
Ricky Sobers,821,28,13.3,5.2,11.3,45.9,0.2,0.5,29.1,2.8,3.3,84.3,0.8,1.8,2.6,4.3,1.3,0.2,3,46.6,52.2
Rod Strickland,"1,094",30.7,13.2,5,10.9,45.4,0.2,0.6,28.2,3.1,4.4,72.1,1.1,2.7,3.7,7.3,1.5,0.2,2.6,46.2,51.6
Steve Stipanovich,403,31.2,13.2,5,10.3,48.4,0,0.1,17.9,3.2,4,79.6,1.9,5.9,7.8,2.3,1,0.9,1.9,48.6,54.7
Bill Cartwright,963,28.5,13.2,4.8,9.2,52.5,0,0,0,3.5,4.6,77.1,1.9,4.5,6.3,1.4,0.5,0.7,2,52.5,58.8
Metta World Peace,991,31.7,13.2,4.7,11.4,41.4,1.2,3.4,33.9,2.6,3.6,71.5,1.2,3.3,4.5,2.7,1.7,0.5,1.8,46.5,50.8
Jermaine O'Neal,"1,011",27.1,13.2,5.1,10.9,46.7,0,0.1,14.7,3,4.2,71.5,2,5.2,7.2,1.4,0.5,1.8,1.9,46.7,51.7
Jim Pollard,438,35.4,13.2,5.2,14.6,36,-,-,-,2.7,3.5,75,-,-,7.8,3.2,-,-,-,36,40.8
Mo Williams,818,29.2,13.2,5,11.4,43.4,1.3,3.5,37.8,1.9,2.2,87.1,0.5,2.3,2.8,4.9,0.9,0.1,2.3,49.3,53.2
Scott Wedman,906,28.6,13.2,5.7,11.8,48.1,0.1,0.3,33.5,1.7,2.1,79.4,1.7,3.1,4.8,2,0.9,0.3,1.3,48.5,51.5
Al Horford,"1,078",31.8,13.1,5.4,10.6,51.3,0.8,2.1,37.9,1.5,1.9,76,1.9,6,8,3.2,0.8,1.2,1.4,55.1,57.4
Dion Waiters,419,28.2,13.1,5,12.2,41.2,1.4,4,34.6,1.7,2.5,69.4,0.4,2.2,2.6,2.8,0.9,0.3,1.8,46.8,49.5
John Stockton,"1,504",31.8,13.1,4.7,9.1,51.5,0.6,1.5,38.4,3.2,3.9,82.6,0.6,2.1,2.7,10.5,2.2,0.2,2.8,54.6,60.8
Kelly Oubre Jr.,595,26.3,13.1,4.7,10.9,43.5,1.5,4.7,32.7,2.1,2.8,75.1,1,3.5,4.5,1.1,1,0.5,1.1,50.5,54.1
Gerald Wilkins,900,29,13,5.3,11.7,45,0.5,1.5,31.6,2,2.7,74.5,1.1,1.9,2.9,3,1,0.2,1.9,47,50.4
Jerami Grant,672,27.6,13,4.5,9.8,45.5,1.2,3.4,36.4,2.9,3.8,74.6,0.9,3.1,4,1.6,0.7,1,1.3,51.8,56.7
Zydrunas Ilgauskas,843,27.2,13,5,10.5,47.6,0,0.1,31,3,3.8,78,2.9,4.4,7.3,1.1,0.5,1.6,1.8,47.8,53.4
Greg Monroe,646,27.4,13,5.2,10.1,51.4,0,0,5.9,2.6,3.7,70.3,2.8,5.4,8.2,2.1,1.1,0.6,1.9,51.4,55.3
Tom Gugliotta,763,30.9,13,5.1,11.3,45.1,0.3,1,28.4,2.5,3.4,75.7,2.1,5.2,7.3,2.8,1.4,0.6,2.3,46.3,50.9
Harry Gallatin,682,31.9,13,4.1,10.3,39.8,-,-,-,4.7,6.1,77.3,-,-,11.9,1.8,-,-,-,39.8,49.7
Johnny Davis,750,28.3,12.9,4.9,11,44.8,0,0.2,17.6,3,3.7,82.1,0.7,1.3,2,4.5,0.9,0.2,2.1,45,51.2
Eddy Curry,527,24.9,12.9,4.9,9,54.5,0,0,100,3.2,4.9,64.2,1.8,3.4,5.2,0.5,0.3,0.7,2.2,54.5,58.1
Bill Laimbeer,"1,068",31.8,12.9,5.2,10.5,49.8,0.2,0.6,32.6,2.3,2.7,83.7,2.6,7.1,9.7,2,0.7,0.9,1.5,50.7,55.2
John Johnson,869,29.6,12.9,5.3,11.8,44.6,0,0,0,2.4,3,77.9,1.6,3.3,5.5,3.8,0.8,0.4,2.7,44.6,49.1
Dennis Scott,629,28.6,12.9,4.7,11.3,41.7,1.9,4.9,39.7,1.5,1.9,79.3,0.6,2.2,2.8,2.1,0.8,0.3,1.2,50.2,53
Lionel Simmons,454,29.6,12.8,4.9,11.4,43.3,0.1,0.3,30.5,2.9,3.7,77.1,1.8,4.5,6.2,3.3,1.1,0.8,2.2,43.7,49.2
Buck Williams,"1,307",32.5,12.8,4.9,8.9,54.9,0,0,16.7,3,4.6,66.4,3.5,6.5,10,1.3,0.8,0.8,2.1,54.9,58.7
Clem Haskins,681,25.9,12.8,5.2,11.5,44.9,-,-,-,2.5,3.2,79.2,0.6,1.2,3.1,3.5,0.6,0.1,-,44.9,49.8
Derek Smith,408,24.1,12.8,5,10,49.9,0.1,0.4,29.4,2.8,3.7,75.3,1.2,2,3.2,2.1,0.6,0.4,1.7,50.4,55.3
Christian Laettner,868,29.7,12.8,4.6,9.7,48,0.1,0.4,26.1,3.4,4.2,82,1.9,4.8,6.7,2.6,1.1,0.8,2.2,48.6,55.7
Sleepy Floyd,957,27.6,12.8,4.6,10.5,44.4,0.5,1.7,32.4,3,3.6,81.5,0.7,2,2.6,5.4,1.2,0.2,2.4,47,53.1
JJ Redick,940,25.5,12.8,4.3,9.5,44.7,2.1,5,41.5,2.2,2.5,89.2,0.2,1.8,2,2,0.4,0.1,1.1,55.5,60.2
Vernon Maxwell,855,28.4,12.8,4.6,11.6,39.8,1.5,4.6,32,2.1,2.9,73.3,0.4,2.1,2.6,3.4,1.1,0.2,1.9,46.2,49.8
Thurl Bailey,928,26.8,12.8,5.1,10.8,47.3,0,0,11.4,2.5,3.1,81.2,1.4,3.7,5.1,1.4,0.5,1.2,1.6,47.3,52.3
Kenny Smith,737,30.1,12.8,4.8,10,48,0.9,2.3,39.9,2.3,2.7,82.9,0.4,1.6,2,5.5,1,0.1,2.2,52.5,57
Andre Drummond,864,27.2,12.7,5.4,9.9,54.3,0,0.1,12.5,2,4.2,48.2,4.2,8.1,12.4,1.2,1.3,1.3,1.8,54.4,54.4
Tom Meschery,778,30.2,12.7,5,11.3,44.1,-,-,-,2.8,3.7,74.5,-,-,8.6,1.7,-,-,-,44.1,49.2
Jarrett Allen,486,28.2,12.7,5.1,8,63,0,0.2,17.1,2.6,3.6,71.1,2.9,6.3,9.1,1.6,0.6,1.3,1.4,63.3,66.2
James Edwards,"1,168",24.3,12.7,5,10,49.5,0,0,4.8,2.8,4,69.8,1.5,3.6,5.1,1.3,0.4,0.7,1.7,49.5,53.9
Rudy Gobert,757,30.4,12.7,4.7,7.2,65.5,0,0,0,3.3,5.1,63.9,3.4,8.4,11.8,1.3,0.7,2.1,1.6,65.5,67.2
Ty Lawson,551,29.2,12.7,4.5,9.8,46,0.9,2.4,35.9,2.7,3.6,77,0.6,2.1,2.7,6,1.2,0.1,2.1,50.4,55.5
Chandler Parsons,440,30.1,12.7,4.8,10.5,46.2,1.6,4.2,37.3,1.4,2,71.3,0.8,3.7,4.5,2.7,0.9,0.3,1.5,53.6,55.7
Terry Catledge,515,26.3,12.7,5,10.3,48.5,0,0.1,9.4,2.7,4.1,65.4,2.9,3.6,6.4,0.9,0.6,0.2,1.7,48.5,52.3
Hassan Whiteside,511,24.7,12.6,5.3,9,58.6,0,0.1,30.8,2.1,3.5,60.5,3.1,7.7,10.8,0.6,0.5,2.2,1.5,58.7,60.2
Richard Jefferson,"1,181",29,12.6,4.4,9.4,46.4,0.9,2.3,37.6,3,3.9,76.8,0.8,3.2,4,2,0.7,0.3,1.5,51.1,56.7
Jason Kidd,"1,391",36,12.6,4.5,11.2,40,1.4,4.1,34.9,2.2,2.8,78.5,1.3,5,6.3,8.7,1.9,0.3,2.9,46.4,50.7
Neal Walk,568,24.4,12.6,5.2,11.2,45.9,-,-,-,2.3,3,75.8,1.8,4.8,7.7,2.1,0.6,0.4,-,45.9,50.1
Bingo Smith,865,25.9,12.6,5.5,12.3,44.9,0,0.1,28.4,1.5,1.9,79.8,1.2,2.7,4.2,2,0.8,0.3,1,45,47.9
Kenny Anderson,858,30.2,12.6,4.7,11.1,42.1,0.6,1.8,34.6,2.6,3.3,79,0.8,2.3,3.1,6.1,1.5,0.1,2.1,44.9,50.1
Rodney Stuckey,651,27.5,12.6,4.5,10.6,42.3,0.4,1.4,30,3.2,3.9,82.4,0.6,2.3,2.9,3.6,0.9,0.1,1.8,44.3,51.2
